order_id,customer_id,product_id,quantity,order_date,distributor_id
1001,2001,3001,2,1/1/2026,1001
1002,2002,3002,1,1/1/2026,1002
1003,2003,3003,5,1/1/2026,1003
1004,2004,3001,3,1/2/2026,1001
1005,2005,3002,2,1/2/2026,1002
1006,2006,3003,4,1/2/2026,1003
1007,2007,3001,1,1/3/2026,1001
1008,2008,3002,2,1/3/2026,1002
1009,2009,3003,3,1/3/2026,1001
1010,2010,3001,5,1/4/2026,1001
1011,2011,3002,1,1/4/2026,1002
1012,2012,3003,2,1/4/2026,1003
1013,2013,3001,4,1/5/2026,1001
1014,2014,3002,3,1/5/2026,1002
1015,2015,3003,1,1/5/2026,1003
1016,2016,3001,2,1/6/2026,1001
1017,2017,3002,5,1/6/2026,1002
1018,2018,3003,3,1/6/2026,1003
1019,2019,3001,1,1/7/2026,1001
1020,2020,3002,2,1/7/2026,1002
1021,2021,3003,4,1/7/2026,1003
1022,2022,3001,3,1/8/2026,1001
1023,2023,3002,1,1/8/2026,1002
1024,2024,3003,2,1/8/2026,1003
1025,2025,3001,5,1/9/2026,1003
1026,2026,3002,3,1/9/2026,1002
1027,2027,3003,1,1/9/2026,1003
1028,2028,3001,2,1/10/2026,1001
1029,2029,3002,4,1/10/2026,1001
1030,2030,3003,3,1/10/2026,1001
1031,2031,3001,1,1/11/2026,1001
1032,2032,3002,2,1/11/2026,1002
1033,2033,3003,5,1/11/2026,1003
1034,2034,3001,3,1/12/2026,1001
1035,2035,3002,1,1/12/2026,1002
1036,2036,3003,2,1/12/2026,1003
1037,2037,3001,4,1/13/2026,1001
1038,2038,3002,3,1/13/2026,1002
1039,2039,3003,1,1/13/2026,1003
1040,2040,3001,2,1/14/2026,1001
1041,2041,3002,5,1/14/2026,1002
1042,2042,3003,3,1/14/2026,1003
1043,2043,3001,1,1/15/2026,1001
1044,2044,3002,2,1/15/2026,1002
1045,2045,3003,4,1/15/2026,1003
1046,2046,3001,3,1/16/2026,1001
1047,2047,3002,1,1/16/2026,1002
1048,2048,3003,2,1/16/2026,1003
1049,2049,3001,5,1/17/2026,1001
1050,2050,3002,3,1/17/2026,1002
1051,2051,3003,1,1/17/2026,1003
1052,2052,3001,2,1/18/2026,1001
1053,2053,3002,4,1/18/2026,1002
1054,2054,3003,3,1/18/2026,1003
1055,2055,3001,1,1/19/2026,1001
1056,2056,3002,2,1/19/2026,1002
1057,2057,3003,5,1/19/2026,1003
1058,2058,3001,3,1/20/2026,1001
1059,2059,3002,1,1/20/2026,1002
1060,2060,3003,2,1/20/2026,1002
1061,2061,3001,4,1/21/2026,1002
1062,2062,3002,3,1/21/2026,1002
1063,2063,3003,1,1/21/2026,1003
1064,2064,3001,2,1/22/2026,1001
1065,2065,3002,5,1/22/2026,1002
1066,2066,3003,3,1/22/2026,1003
1067,2067,3001,1,1/23/2026,1001
1068,2068,3002,2,1/23/2026,1002
1069,2069,3003,4,1/23/2026,1003
1070,2070,3001,3,1/24/2026,1001
1071,2071,3002,1,1/24/2026,1002
1072,2072,3003,2,1/24/2026,1003
1073,2073,3001,5,1/25/2026,1001
1074,2074,3002,3,1/25/2026,1002
1075,2075,3003,1,1/25/2026,1003
1076,2076,3001,2,1/26/2026,1001
1077,2077,3002,4,1/26/2026,1002
1078,2078,3003,3,1/26/2026,1003
1079,2079,3001,1,1/27/2026,1001
1080,2080,3002,2,1/27/2026,1002
1081,2081,3003,5,1/27/2026,1003
1082,2082,3001,3,1/28/2026,1001
1083,2083,3002,1,1/28/2026,1002
1084,2084,3003,2,1/28/2026,1003
1085,2085,3001,4,1/29/2026,1001
1086,2086,3002,3,1/29/2026,1002
1087,2087,3003,1,1/29/2026,1003
1088,2088,3001,2,1/30/2026,1001
1089,2089,3002,5,1/30/2026,1002
1090,2090,3003,3,1/30/2026,1003
1091,2091,3001,1,1/31/2026,1001
1092,2092,3002,2,1/31/2026,1002
1093,2093,3003,4,1/31/2026,1003
1094,2094,3001,3,2/1/2026,1001
1095,2095,3002,1,2/1/2026,1002
1096,2096,3003,2,2/1/2026,1003
1097,2097,3001,5,2/2/2026,1001
1098,2098,3002,3,2/2/2026,1002
1099,2099,3003,1,2/2/2026,1003
1100,2100,3001,2,2/3/2026,1001
1101,2101,3002,4,2/3/2026,1002
1102,2102,3003,3,2/3/2026,1003
1103,2103,3001,1,2/4/2026,1001
1104,2104,3002,2,2/4/2026,1002
1105,2105,3003,5,2/4/2026,1003
1106,2106,3001,3,2/5/2026,1001
1107,2107,3002,1,2/5/2026,1002
1108,2108,3003,2,2/5/2026,1003
1109,2109,3001,4,2/6/2026,1001
1110,2110,3002,3,2/6/2026,1002
1111,2111,3003,1,2/6/2026,1003
1112,2112,3001,2,2/7/2026,1001
1113,2113,3002,5,2/7/2026,1002
1114,2114,3003,3,2/7/2026,1003
1115,2115,3001,1,2/8/2026,1001
1116,2116,3002,2,2/8/2026,1002
1117,2117,3003,4,2/8/2026,1003
1118,2118,3001,3,2/9/2026,1001
1119,2119,3002,1,2/9/2026,1002
1120,2120,3003,2,2/9/2026,1003
1121,2121,3001,4,2/10/2026,1001
1122,2122,3002,3,2/10/2026,1002
1123,2123,3003,1,2/10/2026,1003
1124,2124,3001,2,2/11/2026,1001
1125,2125,3002,5,2/11/2026,1002
1126,2126,3003,3,2/11/2026,1003
1127,2127,3001,1,2/12/2026,1001
1128,2128,3002,2,2/12/2026,1002
1129,2129,3003,4,2/12/2026,1003
1130,2130,3001,3,2/13/2026,1001
1131,2131,3002,1,2/13/2026,1002
1132,2132,3003,2,2/13/2026,1003
1133,2133,3001,5,2/14/2026,1001
1134,2134,3002,3,2/14/2026,1002
1135,2135,3003,1,2/14/2026,1003
1136,2136,3001,2,2/15/2026,1001
1137,2137,3002,4,2/15/2026,1002
1138,2138,3003,3,2/15/2026,1003
1139,2139,3001,1,2/16/2026,1001
1140,2140,3002,2,2/16/2026,1002
1141,2141,3003,5,2/16/2026,1003
1142,2142,3001,3,2/17/2026,1001
1143,2143,3002,1,2/17/2026,1002
1144,2144,3003,2,2/17/2026,1003
1145,2145,3001,4,2/18/2026,1001
1146,2146,3002,3,2/18/2026,1002
1147,2147,3003,1,2/18/2026,1003
1148,2148,3001,2,2/19/2026,1001
1149,2149,3002,5,2/19/2026,1002
1150,2150,3003,3,2/19/2026,1003
1151,2151,3001,1,2/20/2026,1001
1152,2152,3002,2,2/20/2026,1002
1153,2153,3003,4,2/20/2026,1003
1154,2154,3001,3,2/21/2026,1001
1155,2155,3002,1,2/21/2026,1002
1156,2156,3003,2,2/21/2026,1003
